     -5.00000000      0.03846154
     -4.33333333      0.05056180
     -3.66666667      0.06923077
     -3.00000000      0.10000000
     -2.33333333      0.15517241
     -1.66666667      0.26470588
     -1.00000000      0.50000000
     -0.33333333      0.90000000
      0.33333333      0.90000000
      1.00000000      0.50000000
      1.66666667      0.26470588
      2.33333333      0.15517241
      3.00000000      0.10000000
      3.66666667      0.06923077
      4.33333333      0.05056180
      5.00000000      0.03846154
