       1    2.500000
       2    1.750000
       3    1.375000
       4    1.562500
       5    1.656250
       6    1.703125
       7    1.726562
       8    1.738281
       9    1.732422
      10    1.729492
      11    1.730957
      12    1.731689
      13    1.732056
      14    1.731873
      15    1.731964
      16    1.732010
      17    1.732033
      18    1.732044
      19    1.732050
      20    1.732053
      21    1.732051
      22    1.732051
      23    1.732051
      24    1.732051
      25    1.732051
      26    1.732051
      27    1.732051
      28    1.732051
      29    1.732051
      30    1.732051
      31    1.732051
      32    1.732051
      33    1.732051
      34    1.732051
      35    1.732051
      36    1.732051
      37    1.732051
      38    1.732051
      39    1.732051
      40    1.732051
      41    1.732051
      42    1.732051
      43    1.732051
      44    1.732051
      45    1.732051
      46    1.732051
      47    1.732051
      48    1.732051
      49    1.732051
      50    1.732051
