       1    2.500000
       2    1.984127
       3    1.773163
       4    1.733438
       5    1.732052
       6    1.732051
       7    1.732051
       8    1.732051
       9    1.732051
      10    1.732051
      11    1.732051
      12    1.732051
      13    1.732051
      14    1.732051
      15    1.732051
      16    1.732051
      17    1.732051
      18    1.732051
      19    1.732051
      20    1.732051
      21    1.732051
      22    1.732051
      23    1.732051
      24    1.732051
      25    1.732051
      26    1.732051
      27    1.732051
      28    1.732051
      29    1.732051
      30    1.732051
      31    1.732051
      32    1.732051
      33    1.732051
      34    1.732051
      35    1.732051
      36    1.732051
      37    1.732051
      38    1.732051
      39    1.732051
      40    1.732051
      41    1.732051
      42    1.732051
      43    1.732051
      44    1.732051
      45    1.732051
      46    1.732051
      47    1.732051
      48    1.732051
      49    1.732051
      50    1.732051
